question_id,prompt,correct_answer,naive_answer,as_of_day,subject,domain
q362,"As of day 51, what was true about docs_3 in fast?",v26,v42,51,docs_3,fast
q364,"As of day 5, what was true about incident_3 in fast?",v4,v36,5,incident_3,fast
q365,"As of day 37, what was true about docs_8 in fast?",v28,v43,37,docs_8,fast
q366,"As of day 50, what was true about spec_2 in slow?",v1,v11,50,spec_2,slow
q367,"As of day 56, what was true about pricing_8 in medium?",v23,v25,56,pricing_8,medium
q368,"As of day 22, what was true about hardware_28 in slow?",v8,v14,22,hardware_28,slow
q369,"As of day 38, what was true about docs_9 in fast?",v24,v36,38,docs_9,fast
q370,"As of day 40, what was true about spec_26 in slow?",v8,v9,40,spec_26,slow
q371,"As of day 16, what was true about spec_4 in slow?",v4,v18,16,spec_4,slow
q372,"As of day 15, what was true about hardware_9 in slow?",v4,v18,15,hardware_9,slow
q373,"As of day 46, what was true about spec_6 in slow?",v3,v10,46,spec_6,slow
q374,"As of day 34, what was true about incident_8 in fast?",v28,v45,34,incident_8,fast
q375,"As of day 23, what was true about status_22 in fast?",v20,v38,23,status_22,fast
q376,"As of day 47, what was true about status_18 in fast?",v31,v41,47,status_18,fast
q377,"As of day 15, what was true about model_10 in medium?",v6,v30,15,model_10,medium
q378,"As of day 45, what was true about docs_17 in fast?",v34,v48,45,docs_17,fast
q379,"As of day 13, what was true about incident_10 in fast?",v8,v43,13,incident_10,fast
q380,"As of day 21, what was true about incident_6 in fast?",v12,v38,21,incident_6,fast
q381,"As of day 3, what was true about hardware_1 in slow?",v1,v18,3,hardware_1,slow
q382,"As of day 41, what was true about model_13 in medium?",v19,v28,41,model_13,medium
q383,"As of day 35, what was true about status_5 in fast?",v28,v40,35,status_5,fast
q384,"As of day 7, what was true about api_18 in medium?",v3,v29,7,api_18,medium
q385,"As of day 12, what was true about spec_8 in slow?",v1,v22,12,spec_8,slow
q386,"As of day 39, what was true about pricing_5 in medium?",v12,v23,39,pricing_5,medium
q387,"As of day 41, what was true about spec_22 in slow?",v5,v9,41,spec_22,slow
q388,"As of day 49, what was true about incident_20 in fast?",v26,v34,49,incident_20,fast
q389,"As of day 51, what was true about incident_17 in fast?",v34,v39,51,incident_17,fast
q390,"As of day 43, what was true about status_10 in fast?",v26,v37,43,status_10,fast
q391,"As of day 50, what was true about docs_2 in fast?",v35,v40,50,docs_2,fast
q392,"As of day 15, what was true about model_17 in medium?",v6,v24,15,model_17,medium
q393,"As of day 7, what was true about spec_4 in slow?",v4,v18,7,spec_4,slow
q394,"As of day 49, what was true about incident_6 in fast?",v36,v38,49,incident_6,fast
q395,"As of day 36, what was true about status_18 in fast?",v28,v41,36,status_18,fast
q396,"As of day 5, what was true about pricing_9 in medium?",v1,v25,5,pricing_9,medium
q397,"As of day 4, what was true about incident_24 in fast?",v3,v41,4,incident_24,fast
q398,"As of day 16, what was true about docs_7 in fast?",v11,v40,16,docs_7,fast
q399,"As of day 43, what was true about model_5 in medium?",v19,v27,43,model_5,medium
q400,"As of day 55, what was true about model_22 in medium?",v26,v27,55,model_22,medium
q401,"As of day 38, what was true about pricing_2 in medium?",v12,v29,38,pricing_2,medium
q402,"As of day 13, what was true about status_15 in fast?",v5,v36,13,status_15,fast
q403,"As of day 16, what was true about pricing_4 in medium?",v8,v28,16,pricing_4,medium
q404,"As of day 47, what was true about incident_4 in fast?",v32,v44,47,incident_4,fast
q405,"As of day 3, what was true about api_0 in medium?",v2,v20,3,api_0,medium
q406,"As of day 49, what was true about model_0 in medium?",v10,v29,49,model_0,medium
q407,"As of day 31, what was true about incident_23 in fast?",v17,v35,31,incident_23,fast
q408,"As of day 1, what was true about docs_1 in fast?",v1,v40,1,docs_1,fast
q409,"As of day 34, what was true about docs_9 in fast?",v17,v36,34,docs_9,fast
q410,"As of day 6, what was true about pricing_9 in medium?",v1,v25,6,pricing_9,medium
q411,"As of day 4, what was true about docs_1 in fast?",v3,v40,4,docs_1,fast
q412,"As of day 4, what was true about model_2 in medium?",v1,v19,4,model_2,medium
q413,"As of day 57, what was true about spec_10 in slow?",v6,v18,57,spec_10,slow
q414,"As of day 47, what was true about incident_12 in fast?",v32,v41,47,incident_12,fast
q415,"As of day 57, what was true about docs_10 in fast?",v31,v33,57,docs_10,fast
q416,"As of day 50, what was true about api_20 in medium?",v16,v20,50,api_20,medium
q417,"As of day 30, what was true about status_13 in fast?",v12,v50,30,status_13,fast
q418,"As of day 30, what was true about api_24 in medium?",v15,v26,30,api_24,medium
q419,"As of day 52, what was true about model_24 in medium?",v24,v27,52,model_24,medium
q420,"As of day 50, what was true about status_0 in fast?",v33,v39,50,status_0,fast
q421,"As of day 57, what was true about hardware_19 in slow?",v12,v16,57,hardware_19,slow
q422,"As of day 55, what was true about hardware_4 in slow?",v13,v14,55,hardware_4,slow
q423,"As of day 40, what was true about api_7 in medium?",v4,v23,40,api_7,medium
q424,"As of day 34, what was true about pricing_15 in medium?",v14,v19,34,pricing_15,medium
q425,"As of day 13, what was true about model_9 in medium?",v3,v22,13,model_9,medium
q426,"As of day 27, what was true about status_18 in fast?",v17,v41,27,status_18,fast
q427,"As of day 25, what was true about api_0 in medium?",v2,v20,25,api_0,medium
q428,"As of day 10, what was true about hardware_16 in slow?",v2,v19,10,hardware_16,slow
q429,"As of day 13, what was true about incident_1 in fast?",v9,v35,13,incident_1,fast
q430,"As of day 20, what was true about spec_25 in slow?",v7,v20,20,spec_25,slow
q431,"As of day 9, what was true about incident_17 in fast?",v4,v39,9,incident_17,fast
q432,"As of day 1, what was true about pricing_11 in medium?",v1,v24,1,pricing_11,medium
q433,"As of day 22, what was true about incident_18 in fast?",v9,v32,22,incident_18,fast
q434,"As of day 25, what was true about model_20 in medium?",v9,v28,25,model_20,medium
q435,"As of day 33, what was true about pricing_9 in medium?",v14,v25,33,pricing_9,medium
q436,"As of day 16, what was true about status_1 in fast?",v10,v39,16,status_1,fast
q437,"As of day 12, what was true about model_1 in medium?",v5,v21,12,model_1,medium
q439,"As of day 9, what was true about status_12 in fast?",v4,v35,9,status_12,fast
q441,"As of day 55, what was true about incident_17 in fast?",v35,v39,55,incident_17,fast
q442,"As of day 8, what was true about api_3 in medium?",v2,v25,8,api_3,medium
q443,"As of day 27, what was true about api_10 in medium?",v5,v22,27,api_10,medium
q444,"As of day 26, what was true about model_24 in medium?",v11,v27,26,model_24,medium
q445,"As of day 3, what was true about status_9 in fast?",v2,v42,3,status_9,fast
q446,"As of day 2, what was true about status_2 in fast?",v2,v38,2,status_2,fast
q447,"As of day 33, what was true about incident_10 in fast?",v18,v43,33,incident_10,fast
q448,"As of day 1, what was true about spec_15 in slow?",v1,v20,1,spec_15,slow
q449,"As of day 7, what was true about pricing_13 in medium?",v3,v20,7,pricing_13,medium
q450,"As of day 9, what was true about status_1 in fast?",v6,v39,9,status_1,fast
q451,"As of day 1, what was true about docs_10 in fast?",v1,v33,1,docs_10,fast
q452,"As of day 3, what was true about hardware_22 in slow?",v1,v10,3,hardware_22,slow
q453,"As of day 57, what was true about docs_18 in fast?",v34,v33,57,docs_18,fast
q454,"As of day 9, what was true about api_12 in medium?",v1,v27,9,api_12,medium
q455,"As of day 52, what was true about api_18 in medium?",v17,v29,52,api_18,medium
q456,"As of day 4, what was true about hardware_26 in slow?",v1,v14,4,hardware_26,slow
q457,"As of day 23, what was true about api_26 in medium?",v10,v23,23,api_26,medium
q458,"As of day 15, what was true about model_25 in medium?",v7,v28,15,model_25,medium
q459,"As of day 44, what was true about model_27 in medium?",v15,v20,44,model_27,medium
q460,"As of day 57, what was true about hardware_23 in slow?",v15,v17,57,hardware_23,slow
q461,"As of day 9, what was true about status_18 in fast?",v8,v41,9,status_18,fast
q462,"As of day 51, what was true about pricing_7 in medium?",v14,v18,51,pricing_7,medium
q463,"As of day 21, what was true about hardware_27 in slow?",v6,v17,21,hardware_27,slow
q464,"As of day 17, what was true about pricing_9 in medium?",v4,v25,17,pricing_9,medium
q465,"As of day 39, what was true about incident_11 in fast?",v21,v34,39,incident_11,fast
q466,"As of day 38, what was true about pricing_16 in medium?",v18,v25,38,pricing_16,medium
q467,"As of day 15, what was true about status_3 in fast?",v11,v41,15,status_3,fast
q468,"As of day 15, what was true about incident_20 in fast?",v9,v34,15,incident_20,fast
q469,"As of day 28, what was true about api_29 in medium?",v10,v25,28,api_29,medium
q470,"As of day 5, what was true about model_12 in medium?",v3,v24,5,model_12,medium
q471,"As of day 12, what was true about hardware_21 in slow?",v3,v15,12,hardware_21,slow
q472,"As of day 17, what was true about incident_9 in fast?",v9,v37,17,incident_9,fast
q473,"As of day 51, what was true about hardware_19 in slow?",v11,v16,51,hardware_19,slow
q474,"As of day 49, what was true about hardware_3 in slow?",v11,v13,49,hardware_3,slow
q475,"As of day 30, what was true about status_17 in fast?",v15,v32,30,status_17,fast
q476,"As of day 17, what was true about incident_24 in fast?",v11,v41,17,incident_24,fast
q477,"As of day 20, what was true about api_9 in medium?",v1,v19,20,api_9,medium
q478,"As of day 37, what was true about spec_13 in slow?",v3,v13,37,spec_13,slow
q479,"As of day 11, what was true about spec_1 in slow?",v2,v19,11,spec_1,slow
q480,"As of day 30, what was true about pricing_16 in medium?",v14,v25,30,pricing_16,medium
q481,"As of day 32, what was true about pricing_15 in medium?",v12,v19,32,pricing_15,medium
q482,"As of day 49, what was true about status_14 in fast?",v33,v40,49,status_14,fast
q483,"As of day 15, what was true about incident_4 in fast?",v12,v44,15,incident_4,fast
q484,"As of day 46, what was true about incident_23 in fast?",v28,v35,46,incident_23,fast
q485,"As of day 47, what was true about status_13 in fast?",v20,v50,47,status_13,fast
q486,"As of day 15, what was true about incident_23 in fast?",v6,v35,15,incident_23,fast
q487,"As of day 2, what was true about pricing_7 in medium?",v1,v18,2,pricing_7,medium
q488,"As of day 14, what was true about pricing_18 in medium?",v6,v23,14,pricing_18,medium
q489,"As of day 8, what was true about api_3 in medium?",v2,v25,8,api_3,medium
q490,"As of day 38, what was true about spec_26 in slow?",v7,v9,38,spec_26,slow
q491,"As of day 41, what was true about pricing_15 in medium?",v16,v19,41,pricing_15,medium
q492,"As of day 4, what was true about pricing_4 in medium?",v2,v28,4,pricing_4,medium
q493,"As of day 40, what was true about model_7 in medium?",v16,v20,40,model_7,medium
q494,"As of day 14, what was true about incident_8 in fast?",v12,v45,14,incident_8,fast
q495,"As of day 1, what was true about incident_11 in fast?",v1,v34,1,incident_11,fast
q496,"As of day 9, what was true about status_1 in fast?",v6,v39,9,status_1,fast
q497,"As of day 47, what was true about status_18 in fast?",v31,v41,47,status_18,fast
q498,"As of day 12, what was true about hardware_26 in slow?",v4,v14,12,hardware_26,slow
q499,"As of day 12, what was true about spec_0 in slow?",v2,v14,12,spec_0,slow
q500,"As of day 8, what was true about model_29 in medium?",v4,v24,8,model_29,medium
q501,"As of day 10, what was true about model_1 in medium?",v4,v21,10,model_1,medium
q502,"As of day 3, what was true about api_26 in medium?",v1,v23,3,api_26,medium
q503,"As of day 31, what was true about pricing_16 in medium?",v15,v25,31,pricing_16,medium
q504,"As of day 10, what was true about pricing_4 in medium?",v5,v28,10,pricing_4,medium
q505,"As of day 35, what was true about docs_1 in fast?",v24,v40,35,docs_1,fast
q506,"As of day 1, what was true about status_2 in fast?",v1,v38,1,status_2,fast
q507,"As of day 8, what was true about incident_11 in fast?",v5,v34,8,incident_11,fast
q508,"As of day 29, what was true about api_12 in medium?",v1,v27,29,api_12,medium
q509,"As of day 8, what was true about incident_4 in fast?",v7,v44,8,incident_4,fast
q510,"As of day 22, what was true about docs_3 in fast?",v11,v42,22,docs_3,fast
q511,"As of day 20, what was true about docs_4 in fast?",v12,v49,20,docs_4,fast
q512,"As of day 38, what was true about model_17 in medium?",v12,v24,38,model_17,medium
q513,"As of day 1, what was true about docs_13 in fast?",v1,v42,1,docs_13,fast
q514,"As of day 21, what was true about docs_15 in fast?",v14,v38,21,docs_15,fast
q515,"As of day 13, what was true about spec_13 in slow?",v2,v13,13,spec_13,slow
q516,"As of day 43, what was true about model_27 in medium?",v14,v20,43,model_27,medium
q517,"As of day 38, what was true about api_4 in medium?",v9,v21,38,api_4,medium
q518,"As of day 31, what was true about status_3 in fast?",v22,v41,31,status_3,fast
q519,"As of day 32, what was true about api_8 in medium?",v3,v27,32,api_8,medium
q520,"As of day 35, what was true about api_24 in medium?",v17,v26,35,api_24,medium
q521,"As of day 1, what was true about docs_15 in fast?",v1,v38,1,docs_15,fast
q522,"As of day 13, what was true about hardware_24 in slow?",v2,v10,13,hardware_24,slow
q523,"As of day 49, what was true about status_20 in fast?",v28,v37,49,status_20,fast
q524,"As of day 39, what was true about status_9 in fast?",v26,v42,39,status_9,fast
q525,"As of day 22, what was true about model_27 in medium?",v8,v20,22,model_27,medium
q526,"As of day 1, what was true about incident_16 in fast?",v1,v35,1,incident_16,fast
q527,"As of day 58, what was true about spec_9 in slow?",v5,v14,58,spec_9,slow
q528,"As of day 49, what was true about docs_5 in fast?",v27,v36,49,docs_5,fast
q529,"As of day 58, what was true about spec_9 in slow?",v5,v14,58,spec_9,slow
q530,"As of day 13, what was true about docs_7 in fast?",v8,v40,13,docs_7,fast
q531,"As of day 2, what was true about model_19 in medium?",v1,v23,2,model_19,medium
q532,"As of day 42, what was true about status_11 in fast?",v31,v41,42,status_11,fast
q534,"As of day 7, what was true about model_27 in medium?",v4,v20,7,model_27,medium
q535,"As of day 58, what was true about model_6 in medium?",v20,v21,58,model_6,medium
q536,"As of day 58, what was true about docs_18 in fast?",v31,v33,58,docs_18,fast
q537,"As of day 54, what was true about spec_8 in slow?",v1,v22,54,spec_8,slow
q538,"As of day 41, what was true about incident_16 in fast?",v24,v35,41,incident_16,fast
q539,"As of day 11, what was true about model_7 in medium?",v5,v20,11,model_7,medium
q540,"As of day 42, what was true about incident_4 in fast?",v28,v44,42,incident_4,fast
q541,"As of day 57, what was true about api_6 in medium?",v4,v29,57,api_6,medium
q542,"As of day 56, what was true about status_11 in fast?",v37,v41,56,status_11,fast
q543,"As of day 15, what was true about api_19 in medium?",v5,v30,15,api_19,medium
q544,"As of day 21, what was true about pricing_0 in medium?",v6,v23,21,pricing_0,medium
q545,"As of day 56, what was true about spec_1 in slow?",v2,v19,56,spec_1,slow
q546,"As of day 29, what was true about spec_23 in slow?",v10,v17,29,spec_23,slow
q547,"As of day 29, what was true about status_13 in fast?",v24,v50,29,status_13,fast
q548,"As of day 16, what was true about api_27 in medium?",v8,v23,16,api_27,medium
q549,"As of day 24, what was true about status_11 in fast?",v16,v41,24,status_11,fast
q550,"As of day 16, what was true about status_15 in fast?",v11,v36,16,status_15,fast
q551,"As of day 39, what was true about model_19 in medium?",v10,v23,39,model_19,medium
q552,"As of day 35, what was true about model_12 in medium?",v16,v24,35,model_12,medium
q553,"As of day 37, what was true about api_4 in medium?",v9,v21,37,api_4,medium
q554,"As of day 37, what was true about model_25 in medium?",v19,v28,37,model_25,medium
q555,"As of day 12, what was true about pricing_4 in medium?",v9,v28,12,pricing_4,medium
q556,"As of day 13, what was true about spec_4 in slow?",v4,v18,13,spec_4,slow
q557,"As of day 42, what was true about model_27 in medium?",v13,v20,42,model_27,medium
q558,"As of day 40, what was true about incident_12 in fast?",v25,v41,40,incident_12,fast
q559,"As of day 23, what was true about docs_19 in fast?",v16,v37,23,docs_19,fast
q560,"As of day 49, what was true about model_8 in medium?",v19,v23,49,model_8,medium
q561,"As of day 41, what was true about model_6 in medium?",v14,v21,41,model_6,medium
q562,"As of day 58, what was true about docs_7 in fast?",v45,v40,58,docs_7,fast
q563,"As of day 40, what was true about hardware_11 in slow?",v10,v19,40,hardware_11,slow
q564,"As of day 13, what was true about incident_1 in fast?",v9,v35,13,incident_1,fast
q565,"As of day 4, what was true about incident_22 in fast?",v3,v34,4,incident_22,fast
q566,"As of day 13, what was true about api_29 in medium?",v5,v25,13,api_29,medium
q567,"As of day 5, what was true about status_16 in fast?",v4,v34,5,status_16,fast
q568,"As of day 56, what was true about incident_2 in fast?",v37,v39,56,incident_2,fast
q569,"As of day 26, what was true about incident_22 in fast?",v15,v34,26,incident_22,fast
q571,"As of day 15, what was true about api_15 in medium?",v6,v29,15,api_15,medium
q572,"As of day 23, what was true about incident_23 in fast?",v10,v35,23,incident_23,fast
q573,"As of day 43, what was true about incident_18 in fast?",v22,v32,43,incident_18,fast
q574,"As of day 32, what was true about status_7 in fast?",v23,v40,32,status_7,fast
q575,"As of day 27, what was true about api_2 in medium?",v1,v12,27,api_2,medium
q576,"As of day 34, what was true about spec_12 in slow?",v4,v7,34,spec_12,slow
q577,"As of day 34, what was true about status_7 in fast?",v18,v40,34,status_7,fast
q578,"As of day 12, what was true about incident_9 in fast?",v9,v37,12,incident_9,fast
q579,"As of day 9, what was true about model_4 in medium?",v2,v29,9,model_4,medium
q580,"As of day 4, what was true about spec_12 in slow?",v1,v7,4,spec_12,slow
q581,"As of day 17, what was true about hardware_16 in slow?",v4,v19,17,hardware_16,slow
q582,"As of day 3, what was true about incident_1 in fast?",v1,v35,3,incident_1,fast
q583,"As of day 43, what was true about model_17 in medium?",v14,v24,43,model_17,medium
q584,"As of day 28, what was true about model_9 in medium?",v15,v22,28,model_9,medium
q585,"As of day 44, what was true about status_0 in fast?",v30,v39,44,status_0,fast
q586,"As of day 56, what was true about docs_15 in fast?",v35,v38,56,docs_15,fast
q587,"As of day 29, what was true about status_6 in fast?",v16,v39,29,status_6,fast
q588,"As of day 35, what was true about model_15 in medium?",v12,v24,35,model_15,medium
q589,"As of day 2, what was true about incident_16 in fast?",v2,v35,2,incident_16,fast
q590,"As of day 32, what was true about docs_13 in fast?",v21,v42,32,docs_13,fast
q591,"As of day 10, what was true about api_13 in medium?",v3,v26,10,api_13,medium
q592,"As of day 37, what was true about api_4 in medium?",v9,v21,37,api_4,medium
q593,"As of day 13, what was true about spec_1 in slow?",v2,v19,13,spec_1,slow
q594,"As of day 2, what was true about model_0 in medium?",v1,v29,2,model_0,medium
q595,"As of day 55, what was true about spec_23 in slow?",v16,v17,55,spec_23,slow
q596,"As of day 53, what was true about status_1 in fast?",v33,v39,53,status_1,fast
q597,"As of day 43, what was true about hardware_11 in slow?",v11,v19,43,hardware_11,slow
q598,"As of day 45, what was true about docs_5 in fast?",v24,v36,45,docs_5,fast
q599,"As of day 31, what was true about incident_7 in fast?",v21,v36,31,incident_7,fast
q600,"As of day 21, what was true about model_4 in medium?",v12,v29,21,model_4,medium
q601,"As of day 58, what was true about spec_5 in slow?",v1,v13,58,spec_5,slow
q602,"As of day 15, what was true about api_18 in medium?",v5,v29,15,api_18,medium
q603,"As of day 17, what was true about status_19 in fast?",v12,v42,17,status_19,fast
q605,"As of day 57, what was true about docs_18 in fast?",v34,v33,57,docs_18,fast
q607,"As of day 20, what was true about status_16 in fast?",v12,v34,20,status_16,fast
q608,"As of day 53, what was true about spec_23 in slow?",v14,v17,53,spec_23,slow
q609,"As of day 29, what was true about status_22 in fast?",v15,v38,29,status_22,fast
q610,"As of day 29, what was true about docs_18 in fast?",v16,v33,29,docs_18,fast
q611,"As of day 28, what was true about model_11 in medium?",v11,v31,28,model_11,medium
q612,"As of day 48, what was true about incident_4 in fast?",v37,v44,48,incident_4,fast
q613,"As of day 38, what was true about hardware_25 in slow?",v13,v19,38,hardware_25,slow
q614,"As of day 37, what was true about status_9 in fast?",v26,v42,37,status_9,fast
q615,"As of day 12, what was true about incident_12 in fast?",v11,v41,12,incident_12,fast
q616,"As of day 50, what was true about model_0 in medium?",v10,v29,50,model_0,medium
q617,"As of day 52, what was true about api_29 in medium?",v23,v25,52,api_29,medium
q618,"As of day 29, what was true about docs_18 in fast?",v16,v33,29,docs_18,fast
q619,"As of day 34, what was true about incident_6 in fast?",v18,v38,34,incident_6,fast
q620,"As of day 23, what was true about pricing_7 in medium?",v8,v18,23,pricing_7,medium
q621,"As of day 45, what was true about incident_24 in fast?",v32,v41,45,incident_24,fast
q622,"As of day 47, what was true about docs_5 in fast?",v29,v36,47,docs_5,fast
q623,"As of day 15, what was true about docs_17 in fast?",v14,v48,15,docs_17,fast
q624,"As of day 50, what was true about model_28 in medium?",v27,v32,50,model_28,medium
q625,"As of day 28, what was true about status_2 in fast?",v22,v38,28,status_2,fast
q626,"As of day 42, what was true about docs_9 in fast?",v28,v36,42,docs_9,fast
q627,"As of day 10, what was true about incident_7 in fast?",v7,v36,10,incident_7,fast
q628,"As of day 17, what was true about status_19 in fast?",v12,v42,17,status_19,fast
q629,"As of day 2, what was true about status_0 in fast?",v2,v39,2,status_0,fast
q630,"As of day 31, what was true about model_18 in medium?",v14,v23,31,model_18,medium
q631,"As of day 32, what was true about status_19 in fast?",v23,v42,32,status_19,fast
q632,"As of day 58, what was true about docs_2 in fast?",v39,v40,58,docs_2,fast
q633,"As of day 7, what was true about incident_11 in fast?",v4,v34,7,incident_11,fast
q634,"As of day 53, what was true about spec_13 in slow?",v3,v13,53,spec_13,slow
q635,"As of day 9, what was true about status_6 in fast?",v7,v39,9,status_6,fast
q636,"As of day 30, what was true about status_12 in fast?",v15,v35,30,status_12,fast
q637,"As of day 56, what was true about model_24 in medium?",v26,v27,56,model_24,medium
q638,"As of day 31, what was true about docs_12 in fast?",v20,v36,31,docs_12,fast
q639,"As of day 54, what was true about pricing_9 in medium?",v18,v25,54,pricing_9,medium
q640,"As of day 45, what was true about model_1 in medium?",v14,v21,45,model_1,medium
q641,"As of day 50, what was true about incident_10 in fast?",v29,v43,50,incident_10,fast
q642,"As of day 10, what was true about docs_3 in fast?",v4,v42,10,docs_3,fast
q643,"As of day 10, what was true about spec_9 in slow?",v2,v14,10,spec_9,slow
q644,"As of day 50, what was true about docs_0 in fast?",v33,v41,50,docs_0,fast
q645,"As of day 13, what was true about pricing_12 in medium?",v7,v27,13,pricing_12,medium
q646,"As of day 9, what was true about hardware_9 in slow?",v3,v18,9,hardware_9,slow
q647,"As of day 37, what was true about api_8 in medium?",v3,v27,37,api_8,medium
q648,"As of day 3, what was true about api_26 in medium?",v1,v23,3,api_26,medium
q649,"As of day 57, what was true about api_22 in medium?",v22,v24,57,api_22,medium
q650,"As of day 32, what was true about incident_11 in fast?",v20,v34,32,incident_11,fast
q651,"As of day 8, what was true about api_6 in medium?",v2,v29,8,api_6,medium
q652,"As of day 28, what was true about api_20 in medium?",v11,v20,28,api_20,medium
q653,"As of day 58, what was true about api_15 in medium?",v24,v29,58,api_15,medium
q654,"As of day 2, what was true about model_20 in medium?",v2,v28,2,model_20,medium
q655,"As of day 34, what was true about incident_7 in fast?",v22,v36,34,incident_7,fast
q656,"As of day 53, what was true about model_8 in medium?",v20,v23,53,model_8,medium
q657,"As of day 11, what was true about incident_15 in fast?",v9,v38,11,incident_15,fast
q658,"As of day 28, what was true about status_18 in fast?",v18,v41,28,status_18,fast
q659,"As of day 39, what was true about hardware_29 in slow?",v10,v18,39,hardware_29,slow
q660,"As of day 57, what was true about spec_11 in slow?",v5,v20,57,spec_11,slow
q661,"As of day 20, what was true about api_15 in medium?",v9,v29,20,api_15,medium
q662,"As of day 2, what was true about status_7 in fast?",v2,v40,2,status_7,fast
q663,"As of day 29, what was true about status_0 in fast?",v20,v39,29,status_0,fast
q664,"As of day 2, what was true about status_24 in fast?",v2,v47,2,status_24,fast
q665,"As of day 59, what was true about docs_19 in fast?",v36,v37,59,docs_19,fast
q666,"As of day 29, what was true about hardware_11 in slow?",v6,v19,29,hardware_11,slow
q667,"As of day 1, what was true about docs_12 in fast?",v1,v36,1,docs_12,fast
q668,"As of day 54, what was true about pricing_9 in medium?",v18,v25,54,pricing_9,medium
q669,"As of day 21, what was true about hardware_25 in slow?",v7,v19,21,hardware_25,slow
q670,"As of day 52, what was true about api_12 in medium?",v1,v27,52,api_12,medium
q671,"As of day 25, what was true about incident_0 in fast?",v18,v28,25,incident_0,fast
q672,"As of day 37, what was true about model_3 in medium?",v15,v19,37,model_3,medium
q673,"As of day 11, what was true about docs_19 in fast?",v7,v37,11,docs_19,fast
q674,"As of day 56, what was true about api_20 in medium?",v18,v20,56,api_20,medium
q675,"As of day 10, what was true about docs_13 in fast?",v8,v42,10,docs_13,fast
q676,"As of day 10, what was true about status_24 in fast?",v7,v47,10,status_24,fast
q677,"As of day 35, what was true about docs_18 in fast?",v19,v33,35,docs_18,fast
q678,"As of day 45, what was true about api_27 in medium?",v16,v23,45,api_27,medium
q679,"As of day 15, what was true about status_9 in fast?",v6,v42,15,status_9,fast
q680,"As of day 38, what was true about status_12 in fast?",v22,v35,38,status_12,fast
q681,"As of day 8, what was true about status_17 in fast?",v7,v32,8,status_17,fast
q682,"As of day 41, what was true about docs_5 in fast?",v26,v36,41,docs_5,fast
q685,"As of day 40, what was true about model_26 in medium?",v18,v24,40,model_26,medium
q686,"As of day 10, what was true about spec_23 in slow?",v3,v17,10,spec_23,slow
q687,"As of day 25, what was true about model_9 in medium?",v6,v22,25,model_9,medium
q688,"As of day 55, what was true about docs_11 in fast?",v34,v36,55,docs_11,fast
q689,"As of day 1, what was true about api_9 in medium?",v1,v19,1,api_9,medium
q690,"As of day 30, what was true about api_9 in medium?",v1,v19,30,api_9,medium
q691,"As of day 34, what was true about pricing_17 in medium?",v15,v26,34,pricing_17,medium
q692,"As of day 2, what was true about docs_1 in fast?",v1,v40,2,docs_1,fast
q693,"As of day 54, what was true about docs_13 in fast?",v41,v42,54,docs_13,fast
q694,"As of day 43, what was true about incident_2 in fast?",v26,v39,43,incident_2,fast
q695,"As of day 10, what was true about status_20 in fast?",v9,v37,10,status_20,fast
q696,"As of day 20, what was true about api_19 in medium?",v7,v30,20,api_19,medium
q697,"As of day 11, what was true about api_3 in medium?",v2,v25,11,api_3,medium
q698,"As of day 30, what was true about status_22 in fast?",v16,v38,30,status_22,fast
q699,"As of day 56, what was true about api_27 in medium?",v21,v23,56,api_27,medium
q700,"As of day 1, what was true about model_13 in medium?",v1,v28,1,model_13,medium
q701,"As of day 27, what was true about api_16 in medium?",v6,v35,27,api_16,medium
q702,"As of day 35, what was true about api_4 in medium?",v9,v21,35,api_4,medium
q703,"As of day 19, what was true about pricing_16 in medium?",v7,v25,19,pricing_16,medium
q704,"As of day 54, what was true about model_11 in medium?",v27,v31,54,model_11,medium
q705,"As of day 16, what was true about status_23 in fast?",v11,v43,16,status_23,fast
q706,"As of day 18, what was true about api_14 in medium?",v6,v18,18,api_14,medium
q707,"As of day 51, what was true about api_12 in medium?",v1,v27,51,api_12,medium
q708,"As of day 6, what was true about incident_15 in fast?",v6,v38,6,incident_15,fast
q709,"As of day 57, what was true about docs_17 in fast?",v39,v48,57,docs_17,fast
q710,"As of day 17, what was true about pricing_13 in medium?",v7,v20,17,pricing_13,medium
q711,"As of day 13, what was true about incident_7 in fast?",v9,v36,13,incident_7,fast
q712,"As of day 28, what was true about pricing_3 in medium?",v14,v28,28,pricing_3,medium
q713,"As of day 25, what was true about model_29 in medium?",v13,v24,25,model_29,medium
q714,"As of day 48, what was true about api_8 in medium?",v3,v27,48,api_8,medium
q715,"As of day 46, what was true about api_21 in medium?",v22,v27,46,api_21,medium
q716,"As of day 12, what was true about api_17 in medium?",v4,v26,12,api_17,medium
q717,"As of day 54, what was true about api_19 in medium?",v27,v30,54,api_19,medium
q718,"As of day 38, what was true about api_23 in medium?",v9,v16,38,api_23,medium
q719,"As of day 11, what was true about api_2 in medium?",v1,v12,11,api_2,medium
q720,"As of day 6, what was true about api_15 in medium?",v3,v29,6,api_15,medium
q721,"As of day 49, what was true about docs_11 in fast?",v29,v36,49,docs_11,fast
q722,"As of day 53, what was true about status_2 in fast?",v32,v38,53,status_2,fast
q723,"As of day 5, what was true about incident_17 in fast?",v2,v39,5,incident_17,fast
q724,"As of day 22, what was true about docs_7 in fast?",v16,v40,22,docs_7,fast
